ID da Pergunta;	Quantidade de Views;	Quantidade de Respostas;	Score;	Titulo da Questao;	ID da Resposta Aceita;	Tags;	Link da Questao;
16621738;	82982;	5;	1244;	\d is less efficient than [0-9];	16621778;	c#/regexperformance/;	https://stackoverflow.com/questions/16621738/d-is-less-efficient-than-0-9;
3309188;	1262071;	19;	1242;	How to Sort a List&ltT&gt by a property in the object;	3309230;	c#/generics/list/sorting/;	https://stackoverflow.com/questions/3309188/how-to-sort-a-listt-by-a-property-in-the-object;
372865;	309678;	39;	1241;	Path.Combine for URLs?;	49810235;	c#/.net/asp.net/url/path/;	https://stackoverflow.com/questions/372865/path-combine-for-urls;
79126;	350444;	21;	1180;	Create Generic method constraining T to an Enum;	79903;	c#/generics/enums/generic-constraints/;	https://stackoverflow.com/questions/79126/create-generic-method-constraining-t-to-an-enum;
2441290;	459915;	27;	1158;	JavaScriptSerializer - JSON serialization of enum as string;	2441379;	c#/asp.net/json/enums/javascriptserializer/;	https://stackoverflow.com/questions/2441290/javascriptserializer-json-serialization-of-enum-as-string;
4015324;	1617645;	11;	1124;	How to make an HTTP POST web request;	4015346;	c#/.net/post/httpwebrequest/httprequest/;	https://stackoverflow.com/questions/4015324/how-to-make-an-http-post-web-request;
295104;	450590;	32;	1122;	What is the difference between a field and a property?;	295109;	c#/propertiesfield/;	https://stackoverflow.com/questions/295104/what-is-the-difference-between-a-field-and-a-property;
489258;	859179;	20;	1090;	LINQ&#39s Distinct() on a particular property;	489421;	c#/linq/.net-3.5/distinct/;	https://stackoverflow.com/questions/489258/linqs-distinct-on-a-particular-property;
1607336;	1154884;	15;	1088;	Calculate difference between two dates (number of days)?;	1607352;	c#/date/;	https://stackoverflow.com/questions/1607336/calculate-difference-between-two-dates-number-of-days;
2876616;	233272;	14;	1080;	Returning IEnumerable&ltT&gt vs. IQueryable&ltT&gt;	2876655;	c#/linq/linq-to-sql/ienumerable/iqueryable/;	https://stackoverflow.com/questions/2876616/returning-ienumerablet-vs-iqueryablet;
958949;	505592;	16;	1066;	Difference Between Select and SelectMany;	959057;	c#/linq-to-sqllinq/;	https://stackoverflow.com/questions/958949/difference-between-select-and-selectmany;
232535;	253462;	8;	1064;	How do I use reflection to call a generic method?;	232621;	c#/.net/generics/reflection/;	https://stackoverflow.com/questions/232535/how-do-i-use-reflection-to-call-a-generic-method;
14455293;	838457;	21;	1058;	How and when to use ‘async’ and ‘await’;	19985988;	c#/.net/asynchronous/async-await/;	https://stackoverflow.com/questions/14455293/how-and-when-to-use-async-and-await;
7325278;	1297911;	10;	1056;	Group by in LINQ;	7325306;	c#/linqgroup-by/;	https://stackoverflow.com/questions/7325278/group-by-in-linq;
1100260;	618974;	13;	1038;	Multiline string literal in C#;	1100265;	c#/stringshorthand/;	https://stackoverflow.com/questions/1100260/multiline-string-literal-in-c;
10855;	921266;	23;	1028;	LINQ query on a DataTable;	11593;	c#/.net/linq/datatable/.net-3.5/;	https://stackoverflow.com/questions/10855/linq-query-on-a-datatable;
1759352;	261023;	4;	1000;	How to mark a method as obsolete or deprecated?;	1759357;	c#/.net/versioning/deprecated/;	https://stackoverflow.com/questions/1759352/how-to-mark-a-method-as-obsolete-or-deprecated;
4009013;	463986;	10;	996;	Call one constructor from another;	4009032;	c#/constructor/;	https://stackoverflow.com/questions/4009013/call-one-constructor-from-another;
91362;	282796;	10;	982;	How to escape braces (curly brackets) in a format string in .NET;	91375;	c#/.net/string/parsing/formatting/;	https://stackoverflow.com/questions/91362/how-to-escape-braces-curly-brackets-in-a-format-string-in-net;
847066;	568554;	14;	965;	Group By Multiple Columns;	847097;	c#/.net/linq/group-by/aggregate/;	https://stackoverflow.com/questions/847066/group-by-multiple-columns;
3142495;	726598;	26;	963;	Deserialize JSON into C# dynamic object?;	3806407;	c#/.net/json/serialization/dynamic/;	https://stackoverflow.com/questions/3142495/deserialize-json-into-c-dynamic-object;
1344221;	718077;	33;	960;	How can I generate random alphanumeric strings?;	1344242;	c#/.netrandom/;	https://stackoverflow.com/questions/1344221/how-can-i-generate-random-alphanumeric-strings;
837488;	1021584;	26;	948;	How can I get the application&#39s path in a .NET console application?;	837501;	c#/.net/console/console-application/;	https://stackoverflow.com/questions/837488/how-can-i-get-the-applications-path-in-a-net-console-application;
793571;	221406;	9;	946;	Why would you use Expression&ltFunc&ltT&gt&gt rather than Func&ltT&gt?;	793584;	c#/delegates/lambda/expression-trees/;	https://stackoverflow.com/questions/793571/why-would-you-use-expressionfunct-rather-than-funct;
6201529;	1349552;	14;	941;	How do I turn a C# object into a JSON string in .NET?;	6201609;	c#/.net/json/serialization/;	https://stackoverflow.com/questions/6201529/how-do-i-turn-a-c-object-into-a-json-string-in-net;
43021;	898393;	34;	931;	How do you get the index of the current iteration of a foreach loop?;	43029;	c#/foreach/;	https://stackoverflow.com/questions/43021/how-do-you-get-the-index-of-the-current-iteration-of-a-foreach-loop;
1003275;	1093358;	14;	930;	How to convert UTF-8 byte[] to string?;	1003289;	c#/.net/arrays/string/type-conversion/;	https://stackoverflow.com/questions/1003275/how-to-convert-utf-8-byte-to-string;
38138100;	370066;	9;	924;	AddTransient, AddScoped and AddSingleton Services Differences;	38139500;	c#/asp.net-core.net-core/;	https://stackoverflow.com/questions/38138100/addtransient-addscoped-and-addsingleton-services-differences;
1196991;	737086;	22;	923;	Get property value from string using reflection in C#;	1197004;	c#/reflectionproperties/;	https://stackoverflow.com/questions/1196991/get-property-value-from-string-using-reflection-in-c;
3773857;	211624;	1;	919;	Escape curly brace &#39{&#39 in String.Format;	3773868;	c#/.netstring/;	https://stackoverflow.com/questions/3773857/escape-curly-brace-in-string-format;
424366;	761212;	37;	911;	String representation of an Enum;	424414;	c#/enums/;	https://stackoverflow.com/questions/424366/string-representation-of-an-enum;
221925;	873533;	16;	907;	Creating a byte array from a stream;	221941;	c#/.net-3.5inputstream/;	https://stackoverflow.com/questions/221925/creating-a-byte-array-from-a-stream;
604831;	618934;	16;	904;	Collection was modified enumeration operation may not execute;	604843;	c#/wcf/concurrency/dictionary/thread-safety/;	https://stackoverflow.com/questions/604831/collection-was-modified-enumeration-operation-may-not-execute;
410026;	251575;	16;	901;	Proper use of &#39yield return&#39;	410058;	c#/yield-return/;	https://stackoverflow.com/questions/410026/proper-use-of-yield-return;
388464;	380452;	26;	888;	What&#39s the difference between the &#39ref&#39 and &#39out&#39 keywords?;	388467;	c#/reference/keyword/out/ref/;	https://stackoverflow.com/questions/388464/whats-the-difference-between-the-ref-and-out-keywords;
16100;	701944;	24;	887;	Convert a string to an enum in C#;	16104;	c#/stringenums/;	https://stackoverflow.com/questions/16100/convert-a-string-to-an-enum-in-c;
1165761;	433708;	7;	881;	decimal vs double! - Which one should I use and when?;	1165788;	c#/double/decimal/precision/currency/;	https://stackoverflow.com/questions/1165761/decimal-vs-double-which-one-should-i-use-and-when;
11743160;	793379;	9;	878;	How do I encode and decode a base64 string?;	11743162;	c#/base64/;	https://stackoverflow.com/questions/11743160/how-do-i-encode-and-decode-a-base64-string;
2818179;	468940;	12;	874;	How do I force my .NET application to run as administrator?;	2818776;	c#/.net/windows-7/administrator/elevated-privileges/;	https://stackoverflow.com/questions/2818179/how-do-i-force-my-net-application-to-run-as-administrator;
32260;	551521;	23;	874;	Sending email in .NET through Gmail;	32336;	c#/.net/email/smtp/gmail/;	https://stackoverflow.com/questions/32260/sending-email-in-net-through-gmail;
15336248;	438390;	7;	870;	Entity Framework 5 Updating a Record;	15339512;	c#/asp.net-mvc-3entity-framework-5/;	https://stackoverflow.com/questions/15336248/entity-framework-5-updating-a-record;
541954;	631992;	30;	861;	How would you count occurrences of a string (actually a char) within a string?;	541994;	c#/string/;	https://stackoverflow.com/questions/541954/how-would-you-count-occurrences-of-a-string-actually-a-char-within-a-string;
9343594;	626146;	15;	856;	How to call asynchronous method from synchronous method in C#?;	9343733;	c#/async-await/;	https://stackoverflow.com/questions/9343594/how-to-call-asynchronous-method-from-synchronous-method-in-c;
105770;	705459;	21;	850;	.NET String.Format() to add commas in thousands place for a number;	105793;	c#/.net/string/format/;	https://stackoverflow.com/questions/105770/net-string-format-to-add-commas-in-thousands-place-for-a-number;
273313;	437309;	19;	848;	Randomize a List&ltT&gt;	1262619;	c#/generic-list/;	https://stackoverflow.com/questions/273313/randomize-a-listt;
799446;	618472;	22;	846;	Creating a comma separated list from IList&ltstring&gt or IEnumerable&ltstring&gt;	799454;	c#/string/;	https://stackoverflow.com/questions/799446/creating-a-comma-separated-list-from-iliststring-or-ienumerablestring;
12859891;	357661;	37;	842;	Error - Unable to access the IIS metabase;	14715377;	c#/.net/iis/iis-metabase/;	https://stackoverflow.com/questions/12859891/error-unable-to-access-the-iis-metabase;
876473;	527406;	18;	841;	Is there a way to check if a file is in use?;	937558;	c#/.net/file/file-io/file-locking/;	https://stackoverflow.com/questions/876473/is-there-a-way-to-check-if-a-file-is-in-use;
5193842;	347860;	21;	831;	File Upload ASP.NET MVC 3.0;	5193851;	c#/asp.net-mvcasp.net-mvc-3/;	https://stackoverflow.com/questions/5193842/file-upload-asp-net-mvc-3-0;
933613;	511319;	22;	827;	How do I use Assert to verify that an exception has been thrown?;	933627;	c#/unit-testing/mstest/assert/vs-unit-testing-framework/;	https://stackoverflow.com/questions/933613/how-do-i-use-assert-to-verify-that-an-exception-has-been-thrown;
39476;	323899;	17;	826;	What is the yield keyword used for in C#?;	39496;	c#/yield/;	https://stackoverflow.com/questions/39476/what-is-the-yield-keyword-used-for-in-c;
1024559;	560440;	14;	822;	When to use .First and when to use .FirstOrDefault with LINQ?;	1024577;	c#/.netlinq/;	https://stackoverflow.com/questions/1024559/when-to-use-first-and-when-to-use-firstordefault-with-linq;
255669;	439207;	13;	817;	How to enable assembly bind failure logging (Fusion) in .NET;	null;	c#/.net/vb.net/binding/assemblies/;	https://stackoverflow.com/questions/255669/how-to-enable-assembly-bind-failure-logging-fusion-in-net;
411752;	372841;	19;	809;	Best way to repeat a character in C#;	411762;	c#/.netstring/;	https://stackoverflow.com/questions/411752/best-way-to-repeat-a-character-in-c;
1189364;	968152;	25;	806;	Reading settings from app.config or web.config in .NET;	1189369;	c#/.net/configuration/appsettings/;	https://stackoverflow.com/questions/1189364/reading-settings-from-app-config-or-web-config-in-net;
7795300;	722164;	29;	804;	Validation failed for one or more entities. See &#39EntityValidationErrors&#39 property for more details;	7798264;	c#/entity-framework/entity-framework-4/entity-framework-4.1/;	https://stackoverflow.com/questions/7795300/validation-failed-for-one-or-more-entities-see-entityvalidationerrors-propert;
1547476;	531445;	15;	801;	Easiest way to split a string on newlines in .NET?;	1547483;	c#/.net/string/split/;	https://stackoverflow.com/questions/1547476/easiest-way-to-split-a-string-on-newlines-in-net;
32780315;	403021;	51;	796;	Could not find a part of the path ... bin\roslyn\csc.exe;	32780433;	c#/asp.net/.net/asp.net-mvc/roslyn/;	https://stackoverflow.com/questions/32780315/could-not-find-a-part-of-the-path-bin-roslyn-csc-exe;
6414;	741492;	15;	796;	C# loop - break vs. continue;	6417;	c#/loopsenumeration/;	https://stackoverflow.com/questions/6414/c-loop-break-vs-continue;
289;	596515;	18;	795;	How do you sort a dictionary by value?;	298;	c#/.net/sorting/dictionary/;	https://stackoverflow.com/questions/289/how-do-you-sort-a-dictionary-by-value;
144833;	162078;	32;	783;	Most Useful Attributes;	null;	c#/.net.net-attributes/;	https://stackoverflow.com/questions/144833/most-useful-attributes;
52797;	607915;	28;	780;	How do I get the path of the assembly the code is in?;	283917;	c#/.net/reflection/mbunit/;	https://stackoverflow.com/questions/52797/how-do-i-get-the-path-of-the-assembly-the-code-is-in;
114983;	521392;	18;	780;	Given a DateTime object, how do I get an ISO 8601 date in string format?;	null;	c#/datetime/datetime-format/iso8601/;	https://stackoverflow.com/questions/114983/given-a-datetime-object-how-do-i-get-an-iso-8601-date-in-string-format;
619033;	205660;	6;	765;	Does C# have extension properties?;	34976295;	c#/propertiesextension-methods/;	https://stackoverflow.com/questions/619033/does-c-have-extension-properties;
767999;	185087;	9;	764;	Random number generator only generating one random number;	768001;	c#/random/;	https://stackoverflow.com/questions/767999/random-number-generator-only-generating-one-random-number;
1879395;	543942;	12;	756;	How do I generate a stream from a string?;	1879470;	c#/unit-testing/string/stream/;	https://stackoverflow.com/questions/1879395/how-do-i-generate-a-stream-from-a-string;
4736155;	549284;	4;	756;	How do I convert struct System.Byte byte[] to a System.IO.Stream object in C#?;	4769610;	c#/.net/arrays/stream/;	https://stackoverflow.com/questions/4736155/how-do-i-convert-struct-system-byte-byte-to-a-system-io-stream-object-in-c;
249760;	592460;	19;	750;	How can I convert a Unix timestamp to DateTime and vice versa?;	250400;	c#/datetime/unix/epoch/data-conversion/;	https://stackoverflow.com/questions/249760/how-can-i-convert-a-unix-timestamp-to-datetime-and-vice-versa;
215026;	984528;	50;	750;	The located assembly&#39s manifest definition does not match the assembly reference;	215054;	c#/reference/compiler-errors/dependencies/version/;	https://stackoverflow.com/questions/215026/the-located-assemblys-manifest-definition-does-not-match-the-assembly-reference;
158706;	309597;	41;	747;	How do I properly clean up Excel interop objects?;	158752;	c#/excel/interop/com-interop/;	https://stackoverflow.com/questions/158706/how-do-i-properly-clean-up-excel-interop-objects;
752;	511892;	12;	743;	How to create a new object instance from a Type;	755;	c#/.net/performance/reflection/types/;	https://stackoverflow.com/questions/752/how-to-create-a-new-object-instance-from-a-type;
1300088;	390931;	18;	742;	Distinct() with lambda?;	4158364;	c#/c#-3.0/lambda/extension-methods/;	https://stackoverflow.com/questions/1300088/distinct-with-lambda;
4331189;	206505;	9;	734;	DateTime vs DateTimeOffset;	14268167;	c#/.net/datetime/timezone/datetimeoffset/;	https://stackoverflow.com/questions/4331189/datetime-vs-datetimeoffset;
4317479;	340296;	3;	734;	Func vs. Action vs. Predicate;	4317512;	c#/delegates/action/func/;	https://stackoverflow.com/questions/4317479/func-vs-action-vs-predicate;
10679214;	784929;	13;	733;	How do you set the Content-Type header for an HttpClient request?;	10679340;	c#/asp.net/api/http/rest/;	https://stackoverflow.com/questions/10679214/how-do-you-set-the-content-type-header-for-an-httpclient-request;
442704;	415820;	35;	732;	How do you handle multiple submit buttons in ASP.NET MVC Framework?;	7111222;	c#/html/asp.net-mvc/http-post/form-submit/;	https://stackoverflow.com/questions/442704/how-do-you-handle-multiple-submit-buttons-in-asp-net-mvc-framework;
491595;	510102;	20;	731;	Best way to parse command line arguments in C#?;	2067916;	c#/.netcommand-line-arguments/;	https://stackoverflow.com/questions/491595/best-way-to-parse-command-line-arguments-in-c;
614818;	673596;	16;	726;	In C#, what is the difference between public, private, protected, and having no access modifier?;	614844;	c#/.net/asp.net/access-modifiers/;	https://stackoverflow.com/questions/614818/in-c-what-is-the-difference-between-public-private-protected-and-having-no;
894263;	1035381;	25;	725;	Identify if a string is a number;	894271;	c#/string/parsing/isnumeric/;	https://stackoverflow.com/questions/894263/identify-if-a-string-is-a-number;
909555;	464299;	5;	721;	How can I get the assembly file version;	909583;	c#/.net/assemblies/version/;	https://stackoverflow.com/questions/909555/how-can-i-get-the-assembly-file-version;
9065598;	790463;	17;	718;	If a folder does not exist, create it;	9065716;	c#/asp.netdirectory/;	https://stackoverflow.com/questions/9065598/if-a-folder-does-not-exist-create-it;
7105505;	254712;	12;	717;	LINQ Aggregate algorithm explained;	7105616;	c#/.net/linq/aggregate/;	https://stackoverflow.com/questions/7105505/linq-aggregate-algorithm-explained;
1421862;	777854;	83;	715;	Metadata file &#39.dll&#39 could not be found;	17723774;	c#/.net/wpf/visual-studio-2008/c#-3.0/;	https://stackoverflow.com/questions/1421862/metadata-file-dll-could-not-be-found;
5678216;	674526;	15;	712;	All possible array initialization syntaxes;	5678244;	c#/arrays/syntax/array-initialization/;	https://stackoverflow.com/questions/5678216/all-possible-array-initialization-syntaxes;
411592;	759692;	10;	711;	How do I save a stream to a file in C#?;	null;	c#/.netstream/;	https://stackoverflow.com/questions/411592/how-do-i-save-a-stream-to-a-file-in-c;
132445;	152497;	17;	706;	Direct casting vs &#39as&#39 operator?;	132467;	c#/casting/;	https://stackoverflow.com/questions/132445/direct-casting-vs-as-operator;
263191;	226904;	31;	704;	In C#, should I use string.Empty or String.Empty or &quot&quot to intitialize a string?;	263257;	c#/.net/string/initialization/;	https://stackoverflow.com/questions/263191/in-c-should-i-use-string-empty-or-string-empty-or-to-intitialize-a-string;
2082615;	661450;	12;	694;	Pass Method as Parameter using C#;	2082650;	c#/.net/methods/delegates/;	https://stackoverflow.com/questions/2082615/pass-method-as-parameter-using-c;
202011;	674264;	28;	691;	Encrypt and decrypt a string in C#?;	null;	c#/.net/encryption/mono/cryptography/;	https://stackoverflow.com/questions/202011/encrypt-and-decrypt-a-string-in-c;
689355;	465573;	44;	681;	MetadataException: Unable to load the specified metadata resource;	689505;	c#/.net/entity-framework/ado.net/;	https://stackoverflow.com/questions/689355/metadataexception-unable-to-load-the-specified-metadata-resource;
5940225;	400993;	29;	680;	Fastest Way of Inserting in Entity Framework;	5942176;	c#/sqlentity-framework/;	https://stackoverflow.com/questions/5940225/fastest-way-of-inserting-in-entity-framework;
2245442;	466667;	10;	678;	Split a string by another string in C#;	2245460;	c#/.net/string/split/;	https://stackoverflow.com/questions/2245442/split-a-string-by-another-string-in-c;
3628425;	452681;	10;	676;	IEnumerable vs List - What to Use? How do they work?;	3628705;	c#/linq/list/ienumerable/;	https://stackoverflow.com/questions/3628425/ienumerable-vs-list-what-to-use-how-do-they-work;
4;	48709;	13;	672;	Convert Decimal to Double;	7;	c#/floating-point/type-conversion/double/decimal/;	https://stackoverflow.com/questions/4/convert-decimal-to-double;
557340;	631826;	16;	670;	How to get the type of T from a member of a generic class or method?;	557355;	c#/.netgenerics/;	https://stackoverflow.com/questions/557340/how-to-get-the-type-of-t-from-a-member-of-a-generic-class-or-method;
154551;	135548;	9;	669;	Volatile vs. Interlocked vs. lock;	154803;	c#/multithreading/locking/volatile/interlocked/;	https://stackoverflow.com/questions/154551/volatile-vs-interlocked-vs-lock;
388483;	359047;	36;	667;	How do you create a dropdownlist from an enum in ASP.NET MVC?;	694361;	c#/asp.netasp.net-mvc/;	https://stackoverflow.com/questions/388483/how-do-you-create-a-dropdownlist-from-an-enum-in-asp-net-mvc;
41244;	267074;	20;	667;	Dynamic LINQ OrderBy on IEnumerable&ltT&gt / IQueryable&ltT&gt;	233505;	c#/linqlinq-to-objects/;	https://stackoverflow.com/questions/41244/dynamic-linq-orderby-on-ienumerablet-iqueryablet;
2483659;	361833;	10;	665;	Interop type cannot be embedded;	2483688;	c#/visual-studio-2010/visual-studio/c#-4.0/;	https://stackoverflow.com/questions/2483659/interop-type-cannot-be-embedded;
11654562;	1144271;	4;	665;	How to convert byte array to string;	11654597;	c#/arraysbinaryreader/;	https://stackoverflow.com/questions/11654562/how-to-convert-byte-array-to-string;
1288718;	641785;	29;	661;	How to delete all files and folders in a directory?;	1288747;	c#/.net/;	https://stackoverflow.com/questions/1288718/how-to-delete-all-files-and-folders-in-a-directory;
16072709;	1228676;	16;	660;	Converting string to byte array in C#;	null;	c#/string/vb.net/encoding/byte/;	https://stackoverflow.com/questions/16072709/converting-string-to-byte-array-in-c;
19147;	206980;	37;	653;	What is the correct way to create a single-instance WPF application?;	522874;	c#/.net/wpf/mutex/;	https://stackoverflow.com/questions/19147/what-is-the-correct-way-to-create-a-single-instance-wpf-application;
853526;	609891;	14;	652;	Using LINQ to remove elements from a List&ltT&gt;	853551;	c#/.net/linq/list/;	https://stackoverflow.com/questions/853526/using-linq-to-remove-elements-from-a-listt;
593709;	1079585;	9;	651;	How to get the URL of the current page in C#;	null;	c#/asp.net/;	https://stackoverflow.com/questions/593709/how-to-get-the-url-of-the-current-page-in-c;
164926;	1029484;	17;	646;	How do I round a decimal value to 2 decimal places (for output on a page);	164932;	c#/.net/decimal/rounding/;	https://stackoverflow.com/questions/164926/how-do-i-round-a-decimal-value-to-2-decimal-places-for-output-on-a-page;
1315621;	306250;	34;	645;	Implementing INotifyPropertyChanged - does a better way exist?;	1316417;	c#/.net/winforms/inotifypropertychanged/;	https://stackoverflow.com/questions/1315621/implementing-inotifypropertychanged-does-a-better-way-exist;
1019793;	1493891;	29;	638;	How can I convert String to Int?;	1019804;	c#/.net/string/int/type-conversion/;	https://stackoverflow.com/questions/1019793/how-can-i-convert-string-to-int;
6062192;	443800;	18;	635;	There is already an open DataReader associated with this Command which must be closed first;	6064422;	c#/entity-frameworkentity-framework-4/;	https://stackoverflow.com/questions/6062192/there-is-already-an-open-datareader-associated-with-this-command-which-must-be-c;
150479;	213766;	15;	632;	Order of items in classes: Fields, Properties, Constructors, Methods;	310967;	c#/.net/coding-style/code-cleanup/code-structure/;	https://stackoverflow.com/questions/150479/order-of-items-in-classes-fields-properties-constructors-methods;
