ID da Pergunta;	Quantidade de Views;	Quantidade de Respostas;	Score;	Titulo da Questao;	ID da Resposta Aceita;	Tags;	Link da Questao;
61809582;	16;	0;	0;	How to receive events from C++ exe to PowerShell cmdlet written in C#?;	null;	c#/c++/.net/powershell/;	https://stackoverflow.com/questions/61809582/how-to-receive-events-from-c-exe-to-powershell-cmdlet-written-in-c;
56445198;	434;	1;	2;	Running Powershell from C# gives error: `running scripts is disabled on this system`;	null;	c#/powershell/;	https://stackoverflow.com/questions/56445198/running-powershell-from-c-gives-error-running-scripts-is-disabled-on-this-sys;
61769758;	34;	1;	0;	How to use RSAT: DNS Server Tools in C# Powershell SDK;	null;	c#/powershellsdk/;	https://stackoverflow.com/questions/61769758/how-to-use-rsat-dns-server-tools-in-c-powershell-sdk;
60977355;	72;	2;	0;	Powershell Invoke() returning zero in C# for bolt command run;	61032547;	c#/powershell/asp.net-core/azure-virtual-machine/puppet-bolt/;	https://stackoverflow.com/questions/60977355/powershell-invoke-returning-zero-in-c-for-bolt-command-run;
16179414;	1113;	1;	1;	PowerShell Runspace to Exchange Online Budget Exceeded Error;	null;	c#/powershell/exchange-server/office365/runspace/;	https://stackoverflow.com/questions/16179414/powershell-runspace-to-exchange-online-budget-exceeded-error;
61700578;	56;	2;	0;	Call Azure AD protected Azure Function from console app/PowerShell w/delegated permission;	null;	c#/powershell/azure-functions/adal/;	https://stackoverflow.com/questions/61700578/call-azure-ad-protected-azure-function-from-console-app-powershell-w-delegated-p;
61668647;	29;	2;	1;	Type.GetTypeFromProgID() returns null, but New-Object works in Powershell;	61675950;	c#/comwindows-update/;	https://stackoverflow.com/questions/61668647/type-gettypefromprogid-returns-null-but-new-object-works-in-powershell;
61663917;	29;	2;	0;	How to call Powershell script and pass parameters from C# windows form;	null;	c#/visual-studio/powershell/windows-forms-designer/;	https://stackoverflow.com/questions/61663917/how-to-call-powershell-script-and-pass-parameters-from-c-windows-form;
61624392;	36;	1;	1;	Cannot get PSVariable from Powershell Invoke method;	null;	c#/powershell/;	https://stackoverflow.com/questions/61624392/cannot-get-psvariable-from-powershell-invoke-method;
11087517;	2086;	2;	5;	take powershell object save as xml and load in c#;	11088732;	c#/xml/powershell/dataset/;	https://stackoverflow.com/questions/11087517/take-powershell-object-save-as-xml-and-load-in-c;
61607440;	23;	0;	0;	Running Powershell cmdlet in C# application on IIS across domains;	null;	c#/powershell/iis/powershell-remoting/system.management/;	https://stackoverflow.com/questions/61607440/running-powershell-cmdlet-in-c-application-on-iis-across-domains;
61598157;	7;	0;	-1;	How to write powershell script which has to intake the arguments for both the TestRunner and TestReportGenerator with example;	null;	c#/powershell-4.0test-runner/;	https://stackoverflow.com/questions/61598157/how-to-write-powershell-script-which-has-to-intake-the-arguments-for-both-the-te;
61596515;	38;	0;	0;	Windows authentication is not working for Powershell console from C# code;	null;	c#/powershell/iis/windows-authentication/;	https://stackoverflow.com/questions/61596515/windows-authentication-is-not-working-for-powershell-console-from-c-code;
61330768;	157;	1;	8;	Rerun failed .NET unit test from PowerShell script or .NET;	null;	c#/powershell/unit-testing/nunit/xunit.net/;	https://stackoverflow.com/questions/61330768/rerun-failed-net-unit-test-from-powershell-script-or-net;
61508872;	46;	1;	0;	Creating Azure blob containers from a powershell cmdlet fails;	null;	c#/azureazure-storage-blobs/;	https://stackoverflow.com/questions/61508872/creating-azure-blob-containers-from-a-powershell-cmdlet-fails;
61486225;	39;	1;	0;	How to execute a PowerShell script using c#;	null;	c#/asp.net/.net/windows/powershell/;	https://stackoverflow.com/questions/61486225/how-to-execute-a-powershell-script-using-c;
61488690;	30;	1;	0;	How to catch exit code from a powershell script in c#;	null;	c#/asp.net/.net/windows/powershell/;	https://stackoverflow.com/questions/61488690/how-to-catch-exit-code-from-a-powershell-script-in-c;
61483092;	30;	1;	0;	Run a Powershell script inside of a C# project;	null;	c#/powershellps1/;	https://stackoverflow.com/questions/61483092/run-a-powershell-script-inside-of-a-c-project;
58627779;	39;	1;	0;	Enumeration yielded no results for PowerShell Invoke;	null;	c#/powershelloffice365/;	https://stackoverflow.com/questions/58627779/enumeration-yielded-no-results-for-powershell-invoke;
61420149;	42;	0;	0;	Return a list from powershell to c#;	null;	c#/powershell/powershell-2.0/powershell-3.0/;	https://stackoverflow.com/questions/61420149/return-a-list-from-powershell-to-c;
61402309;	24;	0;	0;	run powershell script after nuget package install;	null;	c#/powershell/.net-core/nuget/nuget-package/;	https://stackoverflow.com/questions/61402309/run-powershell-script-after-nuget-package-install;
61373052;	27;	1;	1;	How I can use Add-Type in powershell through command line in order to execute VB.NET or C# (or JScript.net) code?;	61377378;	c#/vb.net/powershell/jscript.net/add-type/;	https://stackoverflow.com/questions/61373052/how-i-can-use-add-type-in-powershell-through-command-line-in-order-to-execute-vb;
42365824;	5750;	2;	1;	Output Result from Powershell command to C# variable;	42365940;	c#/.net/powershell/hyper-v/;	https://stackoverflow.com/questions/42365824/output-result-from-powershell-command-to-c-variable;
61292624;	22;	1;	0;	How to create powershell script dynamically from c# based on input params without having physical script file in machine;	null;	c#/.net/powershell/asp.net-core/;	https://stackoverflow.com/questions/61292624/how-to-create-powershell-script-dynamically-from-c-based-on-input-params-withou;
61242525;	28;	3;	0;	Dynamically create EventHandler for a dynamically created .NET CheckBox from Powershell;	61253191;	c#/.netpowershell/;	https://stackoverflow.com/questions/61242525/dynamically-create-eventhandler-for-a-dynamically-created-net-checkbox-from-pow;
527513;	166568;	7;	98;	Execute PowerShell Script from C# with Commandline Arguments;	527644;	c#/command-line/powershell/scripting/arguments/;	https://stackoverflow.com/questions/527513/execute-powershell-script-from-c-with-commandline-arguments;
61224234;	24;	1;	0;	Powershell ProgramFiles directory script;	61224513;	c#/powershell/;	https://stackoverflow.com/questions/61224234/powershell-programfiles-directory-script;
61188403;	20;	0;	0;	Managing references of .Net executable file by PowerShell;	null;	c#/.net/powershell/.net-4.6/;	https://stackoverflow.com/questions/61188403/managing-references-of-net-executable-file-by-powershell;
55324363;	441;	2;	1;	Running C# code with referenced DLL in PowerShell;	55324599;	c#/.net/powershell/dll/;	https://stackoverflow.com/questions/55324363/running-c-code-with-referenced-dll-in-powershell;
61138425;	55;	1;	2;	Executing elevated powershell scripts from C# in .NET Core 3.0;	null;	c#/powershell/networking/.net-core/;	https://stackoverflow.com/questions/61138425/executing-elevated-powershell-scripts-from-c-in-net-core-3-0;
61132985;	36;	1;	0;	How do I get environment variable value from remote powershell C# code?;	61137410;	c#/powershell/;	https://stackoverflow.com/questions/61132985/how-do-i-get-environment-variable-value-from-remote-powershell-c-code;
61099923;	34;	1;	1;	Powershell executed from C# to manage ActiveDirectory groups;	null;	c#/powershellactive-directory/;	https://stackoverflow.com/questions/61099923/powershell-executed-from-c-to-manage-activedirectory-groups;
8505294;	10289;	2;	40;	How do I deal with Paths when writing a PowerShell Cmdlet?;	8506768;	c#/powershell/parameters/cmdlets/;	https://stackoverflow.com/questions/8505294/how-do-i-deal-with-paths-when-writing-a-powershell-cmdlet;
61051157;	50;	1;	0;	PowerShell and LuaInterface.dll;	61066892;	c#/.net/powershell/lua/;	https://stackoverflow.com/questions/61051157/powershell-and-luainterface-dll;
61058811;	34;	2;	1;	C# if powershell script end show message;	61058876;	c#/powershellif-statement/;	https://stackoverflow.com/questions/61058811/c-if-powershell-script-end-show-message;
61026258;	40;	1;	0;	Does Powershell string interpolation support format specifiers;	61030426;	c#/powershellstring-interpolation/;	https://stackoverflow.com/questions/61026258/does-powershell-string-interpolation-support-format-specifiers;
60921266;	42;	1;	0;	Is there any code # cmd powershell to change Lync call forwarding setting to new number?;	null;	c#/powershelllync/;	https://stackoverflow.com/questions/60921266/is-there-any-code-cmd-powershell-to-change-lync-call-forwarding-setting-to-new;
60981727;	20;	1;	0;	Powershell script failed to execute. See the Service Fabric Tools pane in the output;	null;	c#/azure-service-fabric/;	https://stackoverflow.com/questions/60981727/powershell-script-failed-to-execute-see-the-service-fabric-tools-pane-in-the-ou;
5360145;	19785;	4;	41;	What is the Linq.First equivalent in PowerShell?;	5360217;	c#/linq/powershell/lambda/;	https://stackoverflow.com/questions/5360145/what-is-the-linq-first-equivalent-in-powershell;
60946380;	25;	1;	0;	Multiple key press simultaneously for Windows logo key + Alt + PrtScn in powershell?;	null;	c#/powershell/powershell-ise/pester/;	https://stackoverflow.com/questions/60946380/multiple-key-press-simultaneously-for-windows-logo-key-alt-prtscn-in-powersh;
60949050;	25;	1;	1;	C# PowerShell - AddScript as multiple statements;	60950291;	c#/powershellmultiline/;	https://stackoverflow.com/questions/60949050/c-powershell-addscript-as-multiple-statements;
60890602;	35;	1;	1;	How to handle multiple key press simultaneously in powershell? Eg:Windows logo key + Alt + PrtScn:;	60891088;	c#/powershell/automation/powershell-ise/pester/;	https://stackoverflow.com/questions/60890602/how-to-handle-multiple-key-press-simultaneously-in-powershell-egwindows-logo-k;
60793551;	95;	3;	1;	How to catch full invoke text from powershell class in C#;	60794140;	c#/powershell/output/runspace/;	https://stackoverflow.com/questions/60793551/how-to-catch-full-invoke-text-from-powershell-class-in-c;
60865245;	24;	0;	0;	How to invoke a powershell ise and also run a few command line from powershell tab from C#?;	null;	c#/powershell/;	https://stackoverflow.com/questions/60865245/how-to-invoke-a-powershell-ise-and-also-run-a-few-command-line-from-powershell-t;
60848409;	448;	1;	1;	Reverse shell using powershell;	null;	c#/powershell/xslt/umbraco/payload/;	https://stackoverflow.com/questions/60848409/reverse-shell-using-powershell;
60757282;	46;	1;	0;	Capture the console logs of powershell script using c#;	60851521;	c#/powershell/;	https://stackoverflow.com/questions/60757282/capture-the-console-logs-of-powershell-script-using-c;
60844374;	23;	2;	0;	Powershell c# module, change promp from a cmdlet;	null;	c#/powershellcmdlet/;	https://stackoverflow.com/questions/60844374/powershell-c-module-change-promp-from-a-cmdlet;
32959609;	306;	2;	20;	Cross platform system libraries reference for PowerShell and Server Manager module;	null;	c#/powershell/visual-studio-2012/.net-assembly/;	https://stackoverflow.com/questions/32959609/cross-platform-system-libraries-reference-for-powershell-and-server-manager-modu;
60771789;	79;	1;	3;	Uninstalling an application via uninstallString using powershell in WPF application;	null;	c#/wpf/powershell/wmi/;	https://stackoverflow.com/questions/60771789/uninstalling-an-application-via-uninstallstring-using-powershell-in-wpf-applicat;
60771385;	36;	1;	0;	IO FileStream and StreamReader in Powershell return null while in c# it does work;	null;	c#/powershellsystem.io.file/;	https://stackoverflow.com/questions/60771385/io-filestream-and-streamreader-in-powershell-return-null-while-in-c-it-does-wor;
60707843;	219;	1;	10;	HttpClient concurrent behavior different when running in Powershell than in Visual Studio;	null;	c#/visual-studio/powershell/.net-core/httpclient/;	https://stackoverflow.com/questions/60707843/httpclient-concurrent-behavior-different-when-running-in-powershell-than-in-visu;
60737546;	8;	0;	0;	C# PowerShell modules unable to get unloaded after Powershell instance expires;	null;	c#/powershellmodule/;	https://stackoverflow.com/questions/60737546/c-powershell-modules-unable-to-get-unloaded-after-powershell-instance-expires;
60730301;	34;	0;	0;	Calling a PowerShell cmdlet in DotNet Core (C#);	null;	c#/powershellservice/;	https://stackoverflow.com/questions/60730301/calling-a-powershell-cmdlet-in-dotnet-core-c;
60697598;	35;	0;	0;	Debug Powershell cmdlet (written in c#) in VS Code;	null;	c#/powershell/visual-studio-code/vscode-debugger/cmdlets/;	https://stackoverflow.com/questions/60697598/debug-powershell-cmdlet-written-in-c-in-vs-code;
59258265;	436;	2;	1;	Using Entity Framework Core in a Powershell Cmdlet?;	null;	c#/powershell/entity-framework-core/cmdlets/;	https://stackoverflow.com/questions/59258265/using-entity-framework-core-in-a-powershell-cmdlet;
60661755;	46;	0;	1;	Automate PowerShell from C# under a different user;	null;	c#/powershellimpersonation/;	https://stackoverflow.com/questions/60661755/automate-powershell-from-c-under-a-different-user;
60645691;	55;	1;	1;	How to pass reference parameter to PowerShell script from C#;	60652475;	c#/powershell/;	https://stackoverflow.com/questions/60645691/how-to-pass-reference-parameter-to-powershell-script-from-c;
60645207;	23;	0;	0;	Powershell script to get Java version seems to get &quotstuck&quot;	null;	c#/powershell/;	https://stackoverflow.com/questions/60645207/powershell-script-to-get-java-version-seems-to-get-stuck;
60604617;	44;	1;	3;	Pipe character from PowerShell string command is not recognized in Csharp C# code;	60604836;	c#/powershell/pipe/ssh.net/;	https://stackoverflow.com/questions/60604617/pipe-character-from-powershell-string-command-is-not-recognized-in-csharp-c-cod;
19517105;	9069;	1;	2;	How to run PowerShell from C# as administrator?;	null;	c#/powershell/;	https://stackoverflow.com/questions/19517105/how-to-run-powershell-from-c-as-administrator;
60487175;	50;	1;	1;	Operation not supported in this platform creating an NHibernate Configuration from powershell;	null;	c#/powershell/nhibernate/.net-assembly/.net-standard/;	https://stackoverflow.com/questions/60487175/operation-not-supported-in-this-platform-creating-an-nhibernate-configuration-fr;
60531562;	70;	1;	1;	List the classes of a .NET namespace in powershell?;	60531795;	c#/.net/windows/powershell/class/;	https://stackoverflow.com/questions/60531562/list-the-classes-of-a-net-namespace-in-powershell;
60530172;	32;	1;	0;	Output buffer too short Message when using BouncyCastle Crypto in Powershell / C#;	60530358;	c#/powershell/cryptography/bouncycastle/;	https://stackoverflow.com/questions/60530172/output-buffer-too-short-message-when-using-bouncycastle-crypto-in-powershell-c;
60516211;	43;	0;	2;	Escaping characters issue in running Powershell script in C#;	null;	c#/powershellescapestring/;	https://stackoverflow.com/questions/60516211/escaping-characters-issue-in-running-powershell-script-in-c;
52101072;	271;	1;	1;	Where &quotWrite-Host&quot output goes in Powershell System.Management.Automation Reference assemblies 4.0;	null;	c#/pipeline/powershell-4.0/runspace/;	https://stackoverflow.com/questions/52101072/where-write-host-output-goes-in-powershell-system-management-automation-refere;
60477313;	55;	0;	1;	Powershell script not working as expected when publishing web app;	null;	c#/powershell/iis/gridview/;	https://stackoverflow.com/questions/60477313/powershell-script-not-working-as-expected-when-publishing-web-app;
60432190;	101;	2;	2;	Binding output from powershell script to gridview in asp.net c#;	null;	c#/asp.net/powershell/gridview/data-binding/;	https://stackoverflow.com/questions/60432190/binding-output-from-powershell-script-to-gridview-in-asp-net-c;
60436434;	49;	0;	0;	Unable to connect to SCCM site server through a .NET Core application using Powershell;	null;	c#/powershell/asp.net-core/.net-core/sccm/;	https://stackoverflow.com/questions/60436434/unable-to-connect-to-sccm-site-server-through-a-net-core-application-using-powe;
60434475;	17;	0;	0;	How to set parameter that it only searches emails with 24 hours on Outlook Web (Powershell);	null;	c#/powershell/web-services/outlook/powershell-2.0/;	https://stackoverflow.com/questions/60434475/how-to-set-parameter-that-it-only-searches-emails-with-24-hours-on-outlook-web;
60399208;	31;	1;	0;	Errors when creating an Exchange mailbox using PowerShell commands and parameters;	null;	c#/.netpowershell/;	https://stackoverflow.com/questions/60399208/errors-when-creating-an-exchange-mailbox-using-powershell-commands-and-parameter;
30621147;	891;	1;	0;	executing powershell with a brackets in argument string;	30622259;	c#/powershellpowershell-4.0/;	https://stackoverflow.com/questions/30621147/executing-powershell-with-a-brackets-in-argument-string;
60297075;	36;	1;	0;	Powershell return different results running the same script from c#;	null;	c#/powershell/shell/file/attributes/;	https://stackoverflow.com/questions/60297075/powershell-return-different-results-running-the-same-script-from-c;
60288939;	57;	1;	1;	How to expand path in binary PowerShell module?;	60289757;	c#/powershell/;	https://stackoverflow.com/questions/60288939/how-to-expand-path-in-binary-powershell-module;
37200661;	3265;	1;	1;	.NET API to run powershell scripts;	37200775;	c#/.net/api/rest/powershell/;	https://stackoverflow.com/questions/37200661/net-api-to-run-powershell-scripts;
60260862;	44;	0;	0;	Function to call a powershell Script and return its output in C#;	null;	c#/.net/powershell/powershell-5.0/;	https://stackoverflow.com/questions/60260862/function-to-call-a-powershell-script-and-return-its-output-in-c;
60257391;	42;	0;	1;	C# and Powershell Encrypt Rijndael Pass to same Output;	null;	c#/php/powershell/rijndaelmanaged/;	https://stackoverflow.com/questions/60257391/c-and-powershell-encrypt-rijndael-pass-to-same-output;
60234597;	47;	2;	0;	Powershell/C# XmlDocument selecting only the nodes without attributes;	60235210;	c#/xml/powershell/xpath/;	https://stackoverflow.com/questions/60234597/powershell-c-xmldocument-selecting-only-the-nodes-without-attributes;
57380126;	139;	1;	2;	Calling powershell script with C# - passing in string array as argument in powershell;	null;	c#/.net/;	https://stackoverflow.com/questions/57380126/calling-powershell-script-with-c-passing-in-string-array-as-argument-in-power;
60218707;	43;	0;	0;	Calling powershell script and capturing output into ASP via C#;	null;	c#/asp.netpowershell/;	https://stackoverflow.com/questions/60218707/calling-powershell-script-and-capturing-output-into-asp-via-c;
60190733;	55;	2;	0;	How to catch errors from powershell and write them on a .txt file?;	null;	c#/powershell/;	https://stackoverflow.com/questions/60190733/how-to-catch-errors-from-powershell-and-write-them-on-a-txt-file;
60170316;	77;	0;	0;	How can I decompile a PowerShell cmdlet?;	null;	c#/.net/powershell/clr/decompiler/;	https://stackoverflow.com/questions/60170316/how-can-i-decompile-a-powershell-cmdlet;
60160338;	53;	1;	1;	How to create powershell cmdlet (C#) output parameters;	60161663;	c#/powershell/;	https://stackoverflow.com/questions/60160338/how-to-create-powershell-cmdlet-c-output-parameters;
14266050;	4517;	2;	2;	how to run a powershell script file from a webservice;	14266144;	c#/web-services/powershell/webserver/asmx/;	https://stackoverflow.com/questions/14266050/how-to-run-a-powershell-script-file-from-a-webservice;
60131315;	60;	2;	0;	What is the right way to execute c# code in a powershell script?;	60133794;	c#/winformspowershell/;	https://stackoverflow.com/questions/60131315/what-is-the-right-way-to-execute-c-code-in-a-powershell-script;
6765375;	34745;	1;	31;	Initialize dictionary at declaration using PowerShell;	6765570;	c#/powershell/dictionary/initialization/language-comparisons/;	https://stackoverflow.com/questions/6765375/initialize-dictionary-at-declaration-using-powershell;
25730978;	11876;	4;	8;	PowerShell Add-Type : Cannot add type. already exist;	25731143;	c#/powershellruntime-error/;	https://stackoverflow.com/questions/25730978/powershell-add-type-cannot-add-type-already-exist;
60090733;	44;	0;	1;	C# remote PowerShell calculated property returns null;	null;	c#/powershell/properties/null/;	https://stackoverflow.com/questions/60090733/c-remote-powershell-calculated-property-returns-null;
60095008;	41;	1;	0;	Calling Powershell script from windows service written in C#;	null;	c#/powershellwindows-services/;	https://stackoverflow.com/questions/60095008/calling-powershell-script-from-windows-service-written-in-c;
60081167;	48;	0;	0;	Powershell Timeout From C#;	null;	c#/powershell/;	https://stackoverflow.com/questions/60081167/powershell-timeout-from-c;
60065631;	50;	1;	0;	Powershell script to create a new blob container does not work for Azure Storage Emulator;	null;	c#/powershellazure-storage-emulator/;	https://stackoverflow.com/questions/60065631/powershell-script-to-create-a-new-blob-container-does-not-work-for-azure-storage;
53846550;	48213;	10;	56;	Handler &quotaspNetCore&quot has a bad module &quotAspNetCoreModuleV2&quot in its module list;	null;	c#/asp.net-mvc/iis/.net-core/;	https://stackoverflow.com/questions/53846550/handler-aspnetcore-has-a-bad-module-aspnetcoremodulev2-in-its-module-list;
61863555;	18;	0;	0;	why aspnetcore service responsetime increase with increase in number of concurrent clients?;	null;	c#/windows/asp.net-core/webapi/;	https://stackoverflow.com/questions/61863555/why-aspnetcore-service-responsetime-increase-with-increase-in-number-of-concurre;
51065861;	9252;	5;	7;	Version conflict in AspNetCore;	51071387;	c#/asp.net-core/;	https://stackoverflow.com/questions/51065861/version-conflict-in-aspnetcore;
61761004;	33;	1;	0;	AspNetCore Default Authorization User not authenticated;	null;	c#/authentication/.net-core/authorization/;	https://stackoverflow.com/questions/61761004/aspnetcore-default-authorization-user-not-authenticated;
61743352;	34;	1;	0;	AspNetCore JWT Authentication Without &quotiat&quot in token header;	null;	c#/asp.net-core/authentication/jwt/;	https://stackoverflow.com/questions/61743352/aspnetcore-jwt-authentication-without-iat-in-token-header;
61526883;	54;	1;	1;	CompilationFailedException during runtime compilation of Razor from AspNetCore TestHost;	61614152;	c#/asp.net-core/razor/.net-core/asp.net-core-testhost/;	https://stackoverflow.com/questions/61526883/compilationfailedexception-during-runtime-compilation-of-razor-from-aspnetcore-t;
45924240;	6753;	2;	8;	AspNetCore 2.0 Claims always empty;	null;	c#/authentication/claims-based-identity/asp.net-core-mvc-2.0/;	https://stackoverflow.com/questions/45924240/aspnetcore-2-0-claims-always-empty;
61098795;	26;	1;	0;	how to increase AspNetCore return size;	null;	c#/asp.net-core.net-core/;	https://stackoverflow.com/questions/61098795/how-to-increase-aspnetcore-return-size;
60978028;	34;	1;	-1;	Nuget Spec AspNet vs AspNetCore;	null;	c#/asp.net/nuget/nuget-package/nuget-spec/;	https://stackoverflow.com/questions/60978028/nuget-spec-aspnet-vs-aspnetcore;
60930921;	19;	0;	0;	aspnetcore discovering razor views;	null;	c#/asp.net-core/;	https://stackoverflow.com/questions/60930921/aspnetcore-discovering-razor-views;
60863618;	34;	0;	1;	IOptions configurations throws random NullReferenceException - AspNetCore 2.2;	null;	c#/asp.net-core/dependency-injection/configuration/.net-core-2.2/;	https://stackoverflow.com/questions/60863618/ioptions-configurations-throws-random-nullreferenceexception-aspnetcore-2-2;
60748312;	45;	0;	0;	Simplest AspNetCore MVC app in Linux App Service can&#39t connect to a SQL Server database;	null;	c#/azure/asp.net-core/azure-web-app-service/;	https://stackoverflow.com/questions/60748312/simplest-aspnetcore-mvc-app-in-linux-app-service-cant-connect-to-a-sql-server-d;
55535494;	328;	2;	5;	Do I use a JoinableTaskFactory with AspNetCore?;	55558845;	c#/asp.net-coreasync-await/;	https://stackoverflow.com/questions/55535494/do-i-use-a-joinabletaskfactory-with-aspnetcore;
60686751;	45;	1;	0;	AspNetCore 3.0 Could not load type on Publish;	null;	c#/asp.net/.net/asp.net-core/iis/;	https://stackoverflow.com/questions/60686751/aspnetcore-3-0-could-not-load-type-on-publish;
60482602;	47;	1;	2;	C# Error CS0234 even after adding aspnetcore and extensions packages;	null;	c#/asp.net-corevisual-studio-code/;	https://stackoverflow.com/questions/60482602/c-error-cs0234-even-after-adding-aspnetcore-and-extensions-packages;
60548292;	57;	1;	2;	aspnetcore 3.1 dependency injection for filter;	60548451;	c#/asp.net-coredependency-injection/;	https://stackoverflow.com/questions/60548292/aspnetcore-3-1-dependency-injection-for-filter;
54109762;	10713;	2;	11;	Aspnetcore 2.2 Targeting .Net Framework, InProcess fails on azure app service with error TTP Error 500.0 - ANCM In-Process Handler Load Failure;	54119290;	c#/azure/iis/asp.net-core/;	https://stackoverflow.com/questions/54109762/aspnetcore-2-2-targeting-net-framework-inprocess-fails-on-azure-app-service-wi;
53729956;	24423;	4;	9;	aspNetCore 2.2.0 - AspNetCoreModuleV2 error;	54832978;	c#/asp.netasp.net-core/;	https://stackoverflow.com/questions/53729956/aspnetcore-2-2-0-aspnetcoremodulev2-error;
60327638;	12;	0;	0;	Pre-Loading users from Azure ActiveDirectory OpenIdConnect into AspNetCore Identity;	null;	c#/openid-connectasp.net-core-identity/;	https://stackoverflow.com/questions/60327638/pre-loading-users-from-azure-activedirectory-openidconnect-into-aspnetcore-ident;
59160799;	91;	2;	2;	AspNetCore 3.0 (upgraded from 2.2) routes seem to break when Controller Method has Async suffix;	59161072;	c#/asp.net-core.net-core/;	https://stackoverflow.com/questions/59160799/aspnetcore-3-0-upgraded-from-2-2-routes-seem-to-break-when-controller-method-h;
60329046;	39;	1;	0;	Adding Custom Claims to AspNetCore Azure Authenticated Application;	60332007;	c#/asp.net-coreazure-active-directory/;	https://stackoverflow.com/questions/60329046/adding-custom-claims-to-aspnetcore-azure-authenticated-application;
60298196;	79;	1;	0;	Problem with the Microsoft .AspNetCore 3.1 package in a .Net Standard 2.1 project;	null;	c#/asp.net-core/asp.net-web-api/.net-core/asp.net-core-mvc/;	https://stackoverflow.com/questions/60298196/problem-with-the-microsoft-aspnetcore-3-1-package-in-a-net-standard-2-1-projec;
60296728;	27;	1;	1;	When should I use Microsoft.Owin implementation and when should I use AspNetCore?;	60297435;	c#/rest/asp.net-core/asp.net-web-api/owin/;	https://stackoverflow.com/questions/60296728/when-should-i-use-microsoft-owin-implementation-and-when-should-i-use-aspnetcore;
60275474;	138;	2;	0;	How to send a message to specific user using aspnetcore signalR?;	null;	c#/signalr/signalr-hub/asp.net-core-signalr/;	https://stackoverflow.com/questions/60275474/how-to-send-a-message-to-specific-user-using-aspnetcore-signalr;
60198972;	53;	1;	0;	Attribute Access to HttpContext in AspNetCore Api Controller Function;	null;	c#/asp.net-core/attributes/authorization/;	https://stackoverflow.com/questions/60198972/attribute-access-to-httpcontext-in-aspnetcore-api-controller-function;
59967594;	26;	1;	1;	AWS Cognito signature mismatch issue after aspnetcore upgrade from 1.0 to 2.1;	null;	c#/asp.net-core/.net-core/amazon-cognito/;	https://stackoverflow.com/questions/59967594/aws-cognito-signature-mismatch-issue-after-aspnetcore-upgrade-from-1-0-to-2-1;
59969838;	69;	0;	0;	Hosting Razor pages and API (AspnetCore) inside a WPF dotnet core project;	null;	c#/wpf/asp.net-core/.net-core/wpf-core-3.0/;	https://stackoverflow.com/questions/59969838/hosting-razor-pages-and-api-aspnetcore-inside-a-wpf-dotnet-core-project;
59824077;	64;	0;	2;	AspNetCore Blazor Route-Based Localization;	null;	c#/asp.net-core/routing/blazor/;	https://stackoverflow.com/questions/59824077/aspnetcore-blazor-route-based-localization;
59793166;	46;	1;	0;	How to configure two scheme authentication in AspNetCore 2.0;	59823118;	c#/asp.net/api/asp.net-core-2.0/bearer-token/;	https://stackoverflow.com/questions/59793166/how-to-configure-two-scheme-authentication-in-aspnetcore-2-0;
