ID da Pergunta;	ID da Resposta;	Quantidade de Comentarios;	Score;	ID do Autor;	Nome do Autor;	Reputacao do Autor;
44418033;	44429420;	0;	5;	4151019;	mountain traveller;	4174;
45238899;	46945038;	3;	33;	5209563;	Kira Hao;	737;
47753082;	47753329;	12;	2;	1958365;	Equalsk;	6997;
57442707;	57442790;	0;	0;	1192961;	Nilesh Barai;	1114;
52404588;	52405248;	0;	1;	34092;	mjwills;	20000;
37065315;	37065971;	0;	9;	4770293;	kai;	1154;
16530060;	16530226;	2;	40;	316799;	Felipe Oriani;	33257;
46584175;	46584483;	3;	14;	628781;	Ken Brittain;	2027;
26905316;	26905521;	6;	2;	625189;	Jaanus;	14085;
29123291;	29349753;	4;	39;	62600;	Todd Menier;	28852;
21779206;	21779724;	13;	199;	2071395;	Erik Schierboom;	14279;
44929895;	49187403;	0;	4;	17966;	CBono;	3713;
59371499;	59371955;	6;	2;	3351489;	CorrM;	187;
17815065;	17931400;	9;	65;	610610;	Itanex;	1355;
38555702;	38572088;	1;	10;	58508;	Jimmy Bogard;	22546;
61537755;	61739500;	1;	0;	921127;	Ankit Vijay;	2078;
31748671;	31754133;	4;	46;	58508;	Jimmy Bogard;	22546;
61383269;	61383382;	8;	4;	85215;	Jonas H&#248;gh;	8520;
54537993;	54538105;	0;	1;	60761;	Henk Holterman;	225053;
33980760;	33983508;	7;	3;	2290059;	Yacoub Massad;	25080;
47189545;	47206074;	10;	5;	6736888;	penleychan;	3949;
37862113;	37862584;	2;	1;	1394631;	octavioccl;	33529;
43947475;	43947731;	17;	60;	470005;	Sergey Berezovskiy;	204459;
16591682;	16592802;	1;	4;	8220;	Sunny Milenov;	19912;
38966829;	39866768;	0;	0;	6720210;	WilliamsC;	21;
34288574;	34288826;	2;	2;	3887840;	Amit Kumar Ghosh;	2968;
61006612;	61006783;	5;	3;	2803946;	OxQ;	787;
44807618;	45769447;	3;	21;	1319831;	Masayuki Muto;	316;
60984906;	60985079;	6;	2;	1882699;	Martin Staufcik;	4552;
60873396;	60891425;	0;	1;	13130126;	henrikh_;	31;
60847157;	60847224;	2;	2;	940182;	oleksa;	1559;
21413273;	21413828;	6;	94;	470005;	Sergey Berezovskiy;	204459;
57610957;	57611156;	2;	1;	4353251;	Lorenzo Isidori;	881;
56755841;	56757526;	1;	1;	178396;	Christian Horsdal;	4723;
32954184;	33043503;	0;	4;	5361057;	jmk22;	844;
56506456;	56506715;	0;	0;	7111641;	N. Komodo;	25;
7597035;	7610088;	1;	56;	26507;	Steven Robbins;	25289;
9534021;	9534377;	3;	5;	25319;	TheCodeJunkie;	8670;
24970028;	24970608;	4;	34;	178396;	Christian Horsdal;	4723;
17320754;	17329321;	4;	2;	25319;	TheCodeJunkie;	8670;
32977509;	52547680;	0;	2;	4710031;	etoricky;	302;
49135557;	49285288;	0;	1;	1546548;	OriginalUtter;	491;
40870618;	40870619;	0;	7;	3095779;	Deilan;	3670;
36972930;	50145307;	0;	5;	6672704;	Vladyslav Kushnir;	371;
48737804;	48810351;	2;	1;	814735;	Cyril Durand;	12870;
47792724;	47792936;	0;	1;	5311735;	Evk;	77570;
47753356;	47756216;	0;	1;	1393400;	Xpleria;	3517;
45046242;	45046722;	1;	10;	3518746;	Avenger789;	337;
47585008;	47666202;	0;	0;	132599;	David Clarke;	11307;
